state,city,population_2024
Illinois,Kingston Village,1095.0
Illinois,Kingston Mines Village,267.0
Illinois,Kinmundy City,711.0
Illinois,Kinsman Village,87.0
Illinois,Kirkland Village,1621.0
Illinois,Kirkwood Village,648.0
Illinois,Knoxville City,2840.0
Illinois,Lacon City,1838.0
Illinois,Ladd Village,1387.0
Illinois,La Fayette Village,154.0
Illinois,La Grange Village,15943.0
Illinois,La Grange Park Village,13459.0
Illinois,La Harpe City,1137.0
Illinois,Lake Barrington Village,5160.0
Illinois,Lake Bluff Village,5600.0
Illinois,Lake Forest City,19642.0
Illinois,Lake In The Hills Village,28706.0
Illinois,Lake Ka-Ho Village,198.0
Illinois,Lakemoor Village,6451.0
Illinois,Lake Villa Village,8737.0
Illinois,Lakewood Village,4287.0
Illinois,Lake Zurich Village,19960.0
Illinois,La Moille Village,670.0
Illinois,Lanark City,1463.0
Illinois,Lansing Village,28107.0
Illinois,La Prairie Village,40.0
Illinois,La Rose Village,98.0
Illinois,Lasalle City,9424.0
Illinois,Latham Village,323.0
Illinois,Lawrenceville City,4315.0
Illinois,Leaf River Village,419.0
Illinois,Lebanon City,4628.0
Illinois,Lee Village,308.0
Illinois,Leland Village,928.0
Illinois,Leland Grove City,1409.0
Illinois,Lemont Village,18203.0
Illinois,Lena Village,2666.0
Illinois,Lenzburg Village,448.0
Illinois,Leonore Village,121.0
Illinois,Lerna Village,218.0
Illinois,Le Roy City,3495.0
Illinois,Lewistown City,1960.0
Illinois,Lexington City,2097.0
Illinois,Liberty Village,523.0
Illinois,Libertyville Village,20643.0
Illinois,Lily Lake Village,1059.0
Illinois,Lima Village,143.0
Illinois,Limestone Village,1524.0
Illinois,Lincoln City,13047.0
Illinois,Lincolnshire Village,8008.0
Illinois,Lincolnwood Village,13055.0
Illinois,Lindenhurst Village,14564.0
Illinois,Lisbon Village,274.0
Illinois,Lisle Village,23548.0
Illinois,Litchfield City,6587.0
Illinois,Littleton Village,136.0
Illinois,Little York Village,268.0
Illinois,Liverpool Village,91.0
Illinois,Livingston Village,749.0
Illinois,Loami Village,797.0
Illinois,Lockport City,26915.0
Illinois,Loda Village,331.0
Illinois,Lomax Village,379.0
Illinois,Lombard Village,44490.0
Illinois,London Mills Village,342.0
Illinois,Long Creek Village,1232.0
Illinois,Long Grove Village,8393.0
Illinois,Long Point Village,199.0
Illinois,Longview Village,112.0
Illinois,Loraine Village,294.0
Illinois,Lostant Village,430.0
Illinois,Louisville Village,1107.0
Illinois,Loves Park City,23636.0
Illinois,Lovington Village,1020.0
Illinois,Ludlow Village,301.0
Illinois,Lyndon Village,529.0
Illinois,Lynnville Village,92.0
Illinois,Lynwood Village,9239.0
Illinois,Lyons Village,10440.0
Illinois,Mcclure Village,224.0
Illinois,Mccook Village,241.0
Illinois,Mccullom Lake Village,968.0
Illinois,Macedonia Village,29.0
Illinois,Mchenry City,28825.0
Illinois,Machesney Park Village,22839.0
Illinois,Mackinaw Village,1848.0
Illinois,Mclean Village,736.0
Illinois,Mcleansboro City,2593.0
Illinois,Mcnabb Village,274.0
Illinois,Macomb City,14765.0
Illinois,Macon City,1133.0
Illinois,Madison City,3060.0
Illinois,Maeystown Village,149.0
Illinois,Magnolia Village,254.0
Illinois,Mahomet Village,10619.0
Illinois,Makanda Village,539.0
Illinois,Malden Village,310.0
Illinois,Malta Village,1137.0
Illinois,Manchester Village,261.0
Illinois,Manhattan Village,10772.0
Illinois,Manito Village,1488.0
Illinois,Manlius Village,290.0
Illinois,Mansfield Village,918.0
Illinois,Manteno Village,9241.0
Illinois,Maple Park Village,1482.0
Illinois,Mapleton Village,253.0
Illinois,Maquon Village,215.0
Illinois,Marengo City,7699.0
Illinois,Marietta Village,100.0
Illinois,Marine Village,965.0
Illinois,Marion City,17021.0
Illinois,Marissa Village,1743.0
Illinois,Mark Village,507.0
Illinois,Markham City,11290.0
